listing_id,host_name,last_review,description,room_type,price/usd,boroughs,neighbourhood
14290,James,2019-05-17,* ORIGINAL BROOKLYN LOFT *,Entire home/apt,228,Brooklyn,Williamsburg
14314,Jeanne,2019-06-29,Greenpoint Place...Has It All!,Entire home/apt,144,Brooklyn,Greenpoint
14322,Francesca,2019-03-25,Beautiful Apartment in Manhattan!!!,Entire home/apt,200,Manhattan,Kips Bay
14377,Joanna,2019-06-22,Williamsburg 1 bedroom Apartment,Entire home/apt,150,Brooklyn,Williamsburg
14991,Bianca,2019-05-18,"Great Location, Manhattan Bedroom!",Private room,110,Manhattan,Lower East Side
15220,Luiz,2019-06-09,Best Location in NYC! TIMES SQUARE!,Private room,69,Manhattan,Hell's Kitchen
15338,Andrea,2019-06-04,Room in Greenpoint Loft w/ Roof,Private room,49,Brooklyn,Greenpoint
15341,Ted,2019-06-29,**Bright Nolita Apt w Doorman/Elevators/Gym**,Entire home/apt,180,Manhattan,SoHo
15385,Cristina,2019-06-30,"Very, very cozy place",Private room,80,Brooklyn,Williamsburg
15711,D,2019-03-30,2 bedroom - Upper East Side-great for kids,Entire home/apt,250,Manhattan,Upper East Side
16326,Dimitri,2019-01-26,Comfortable 4-bedroom apt in family house.,Entire home/apt,200,Brooklyn,Prospect Heights
16421,Mark,2019-05-16,Your Heaven in Hells Kitchen,Private room,52,Manhattan,Hell's Kitchen
16580,Reka,2019-07-01,"Sunny, Modern room in East Village!",Private room,80,Manhattan,East Village
16595,Daniel,2019-06-23,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Entire home/apt,275,Brooklyn,Williamsburg
16821,Casey,2019-06-21,Large Room in Amazing East Village Apt,Private room,99,Manhattan,East Village
16974,Robin,2019-06-23,SpaHa Loft: Enormous and Bright,Entire home/apt,225,Manhattan,East Harlem
17092,Enzo,2019-06-01,Cool Room in Hell's Kitchen,Private room,51,Manhattan,Hell's Kitchen
17693,Tye And Etienne,2019-06-18,"HARLEM, NEW YORK WELCOMES YOU!!",Private room,65,Manhattan,Washington Heights
17747,George,2019-06-26,BLUE TRIM GUEST HOUSE,Private room,105,Brooklyn,Clinton Hill
18127,Josh,2019-01-02,Charming East Village One Bedroom Flat,Entire home/apt,190,Manhattan,East Village
18152,Victoria,2019-07-09,Manhattan Room,Private room,200,Manhattan,Upper East Side
18198,Justin,2019-05-31,Little King of Queens,Private room,70,Queens,Woodside
18590,Blaise,2019-06-16,Fort Greene Retreat on the Park,Private room,95,Brooklyn,Fort Greene
18728,DAVID And RICK,2019-05-28,Beautiful Meatpacking District Loft,Private room,150,Manhattan,Chelsea
18764,Lulú,2019-04-22,Cozy 2 BR in Williamsburg,Private room,145,Brooklyn,Williamsburg
19159,Sybilla,2019-03-23,Spacious luminous apt Upper West NYC,Entire home/apt,110,Manhattan,Harlem
19169,JoLynn,2019-06-30,Entire 2 Bedroom - Large & Sunny,Entire home/apt,285,Manhattan,Lower East Side
19282,Gaia,2019-06-15,"Sunny, Spacious Top Floor Haven",Entire home/apt,130,Brooklyn,Flatbush
19319,Ana,2019-04-08,Private room Great Deal at Lower East Side,Private room,94,Manhattan,Lower East Side
20299,Edward,2019-06-30,Oh glorious spring!,Private room,60,Manhattan,East Village
20611,Lulú,2019-06-22,Cozy Bedroom in Williamsburg 3 BR,Private room,85,Brooklyn,Williamsburg
20724,Augustin,2019-05-26,Sunny room+Pvte office in huge loft,Private room,65,Brooklyn,Bushwick
20734,Sean & Lynette,2019-06-27,Spacious Prospect Heights Apartment,Entire home/apt,131,Brooklyn,Prospect Heights
20755,Erica,2019-05-31,"Large Parlor Room, Landmark Home 1 block to PRATT",Private room,98,Brooklyn,Clinton Hill
20853,Tracy,2019-05-21,2-bed brownstone duplex + garden,Entire home/apt,250,Brooklyn,Prospect Heights
21293,Tyrome,2019-06-18,Sunny Apartment in Artist Home,Entire home/apt,105,Brooklyn,Bushwick
21456,Dana,2019-07-07,Light-filled classic Central Park,Entire home/apt,140,Manhattan,Upper West Side
21794,Olan,2019-05-01,COZY QUIET room 4 DOOGLERS!,Private room,98,Manhattan,Chelsea
22918,Ssameer Or Trip,2019-01-03,loft bed - near transportation-15min to times sq,Private room,60,Manhattan,Harlem
23135,Annette,2019-06-24,House On Henry (3rd FLR Suite),Entire home/apt,175,Brooklyn,Carroll Gardens
23686,Ann,2019-05-18,2000 SF 3br 2bath West Village private  townhouse,Entire home/apt,500,Manhattan,West Village
24143,Seth,2019-05-29,"Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony",Private room,101,Brooklyn,Williamsburg
25235,Shelly,2019-06-28,Large 2 Bedroom Great for Groups!,Entire home/apt,125,Brooklyn,Bedford-Stuyvesant
25696,Dena,2019-06-23,"1,800 sq foot in luxury building",Private room,100,Manhattan,Harlem
26362,Luiz,2019-06-16,"Times Square, Safe, Clean and Cozy!",Private room,59,Manhattan,Hell's Kitchen
26520,Erica,2019-06-02,"Cozy Room #3, Landmark Home 1 Block to PRATT",Private room,125,Brooklyn,Clinton Hill
26969,Alexandra,2019-06-23,2 story family home in Williamsburg,Entire home/apt,325,Brooklyn,Williamsburg
27006,Stacy,2019-04-27,Comfortable UWS 2-BD Family-Friendly Brownstone,Entire home/apt,235,Manhattan,Upper West Side
27385,Bruce,2019-06-07,Great Large 1 BR apt  in East Village!,Entire home/apt,225,Manhattan,East Village
27531,Evelyn,2019-05-20,Eveland Private Bed & Living Room w/ Own Entrance,Private room,99,Brooklyn,South Slope
27644,Emma,2019-07-01,Sugar Hill Rest Stop,Entire home/apt,170,Manhattan,Harlem
27759,Sylvie,2019-06-26,apartment next to Central park,Entire home/apt,170,Manhattan,Upper West Side
29013,Angela,2019-05-14,B & B Room 1,Private room,70,Brooklyn,Bedford-Stuyvesant
29455,Laurine,2019-06-20,ACCOMMODATIONS GALORE #1,Entire home/apt,120,Manhattan,Harlem
29628,Chris,2019-07-03,Sunny Room in New Condo,Private room,89,Brooklyn,Clinton Hill
29683,Uli,2019-06-25,Stylish & Sleek Apartment Near SoHo!,Entire home/apt,185,Manhattan,East Village
30031,Sol,2019-05-20,NYC artists‚Äô loft with roof deck,Private room,50,Brooklyn,Greenpoint
30927,Cs,2019-06-14,Unique & Charming small 1br Apt. LES,Entire home/apt,105,Manhattan,Lower East Side
31130,Lara,2019-05-26,Most Central Location!,Private room,130,Manhattan,Hell's Kitchen
31555,Tom,2019-07-01,Luminous Beautiful West Village Studio,Entire home/apt,115,Manhattan,West Village
31902,Sunder,2019-01-01,Sanctuary in East Flatbush,Private room,77,Brooklyn,Flatlands
31994,Waldemar,2019-06-24,Room with En Suite Bathroom & Deck,Private room,76,Brooklyn,Clinton Hill
32023,Khem,2019-06-23,FLAT MACDONOUGH,Entire home/apt,125,Brooklyn,Bedford-Stuyvesant
32037,Sahr,2019-07-01,Huge Private  Floor at The Waverly,Private room,135,Brooklyn,Clinton Hill
32965,Khem,2019-06-20,FLAT MACDONOUGH GARDEN,Entire home/apt,115,Brooklyn,Bedford-Stuyvesant
32969,Katherine,2019-07-02,Light filled Williamsburg Apartment,Entire home/apt,160,Brooklyn,Williamsburg
33009,Ming,2019-06-17,Retreat in Williamsburg,Entire home/apt,195,Brooklyn,Williamsburg
33014,Paula,2019-06-17,NYC Zen,Entire home/apt,195,Manhattan,East Village
33223,Lulú,2019-06-22,Cozy BR in Wiliamsburg 3 Bedroom,Private room,80,Brooklyn,Williamsburg
34760,Obed,2019-06-29,Sunny Room in Old Historical Brooklyn Townhouse,Private room,44,Brooklyn,Fort Greene
35526,Karen,2019-06-22,Sun Filled Classic West Village Apt,Private room,156,Manhattan,West Village
36133,White,2019-06-13,Classic Artist Loft Williamsburg,Private room,125,Brooklyn,Williamsburg
36703,Karene,2019-03-31,"Sunny, clean 1 bdrm in W. Village",Entire home/apt,225,Manhattan,West Village
38638,Sara,2019-06-26,Light and Airy Upper East Side 1 BDR apartment,Entire home/apt,219,Manhattan,Upper East Side
39267,Marie,2019-06-08,CENTRAL PARK LOFT all for YOU,Entire home/apt,99,Manhattan,Upper East Side
39282,Gus,2019-05-28,Indie-Chic Share In Williamsburg,Private room,69,Brooklyn,Williamsburg
39593,Myung,2019-04-12,"A room w/ a Manhattan view, longer stay",Private room,79,Queens,Sunnyside
39704,Renée,2019-06-22,"Private, Large & Sunny 1BR w/W&D",Entire home/apt,135,Brooklyn,Bedford-Stuyvesant
41348,Syl,2019-07-06,* Spacious GARDEN Park Slope Duplex* 6 people max,Entire home/apt,250,Brooklyn,Gowanus
42580,Waldemar,2019-06-24,Parlor Room In Victorian Townhouse,Private room,70,Brooklyn,Clinton Hill
42729,Annette,2019-06-18,House On Henry (2nd FLR Suite),Entire home/apt,165,Brooklyn,Carroll Gardens
42882,Newyorkroomwithaview,2019-06-13,New York room with a view,Private room,70,Staten Island,St. George
43957,Tessa,2019-06-19,Sunny cozy room in Brklyn townhouse,Private room,50,Brooklyn,Bushwick
44096,Waundell,2019-07-04,Room with a View,Private room,40,Bronx,Highbridge
44212,Bruce,2019-06-23,West Inn 2 - East Village,Private room,125,Manhattan,East Village
44221,Coral,2019-06-20,Financial District Luxury Loft,Entire home/apt,196,Manhattan,Financial District
44229,Carol,2019-06-24,BROOKLYN VICTORIAN STYLE SUITE.....,Private room,110,Brooklyn,Fort Greene
44288,Sara,2019-06-01,Your own Lovely West Village Studio,Entire home/apt,170,Manhattan,West Village
44506,Laurine,2019-05-26,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Entire home/apt,165,Manhattan,Harlem
45556,Doug,2019-06-30,"Fort Greene, Brooklyn: Center Bedroom",Private room,65,Brooklyn,Fort Greene
45910,Mark,2019-05-12,Beautiful Queens Brownstone! - 5BR,Entire home/apt,350,Queens,Ridgewood
45936,Rahul,2019-05-14,Couldn't Be Closer To Columbia Uni,Private room,99,Manhattan,Morningside Heights
45940,Miyoung,2019-04-08,Bright Spacious Luxury Condo,Entire home/apt,200,Brooklyn,Williamsburg
46544,Monica,2019-06-05,Park Slope haven 15 mins from Soho,Entire home/apt,150,Brooklyn,Park Slope
46723,Marylyn,2019-05-19,SAFE  AND BEAUTIFUL ACCOMODATION,Private room,90,Brooklyn,Bedford-Stuyvesant
46911,Kathleen R.,2019-06-24,Large Room in private Brownstone in Park Slope,Private room,120,Brooklyn,Prospect Heights
47199,Teresa,2019-06-24,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Private room,75,Manhattan,Upper East Side
47926,Claudia,2019-06-26,LUX APT IN TIMES SQUARE NEW BUILDING,Entire home/apt,275,Manhattan,Hell's Kitchen
48719,Shane,2019-06-15,Designer 1 BR Duplex w/ Terrace- Spectacular Views,Entire home/apt,299,Manhattan,Lower East Side
50447,Laurie,2019-06-22,Lovely Apt & Garden;  Legal;  Best Area; Amenities,Entire home/apt,135,Brooklyn,South Slope
51485,Erina,2019-06-22,Lower East Side $57~/night,Private room,83,Manhattan,Lower East Side
51572,Lee,2019-06-18,Prime Location in Manhattan,Private room,123,Manhattan,Chelsea
51850,Jullett,2019-05-20,( F) Excellent/Pvt Rm,Private room,55,Queens,Jamaica
53137,Marlaine,2019-07-01,"Quiet, sunny Midtown Manhattan apt.",Entire home/apt,195,Manhattan,Hell's Kitchen
53477,Mark,2019-04-27,3 floors of luxury!,Entire home/apt,265,Queens,Middle Village
54158,Bob,2019-06-20,The Institute‚ÄîHeart of Williamsburg,Entire home/apt,249,Brooklyn,Williamsburg
54508,Kathleen R.,2019-06-06,Sml Rm in pr Brst  Park Sl great for Med/students,Private room,100,Brooklyn,Prospect Heights
54544,Wayne,2019-06-22,City Room - Private Penthouse Apt.,Entire home/apt,121,Manhattan,Harlem
54626,Waundell,2019-06-30,Cozy bedroom by Yankee Stadium,Private room,45,Bronx,Highbridge
54860,Jenny,2019-06-23,Great apartment with private bathroom and entrance,Private room,100,Manhattan,East Harlem
55467,Paul,2019-07-02,Private Garden Apt ‚Ä¢ New Renovation,Entire home/apt,140,Brooklyn,Williamsburg
55498,Tami,2019-07-01,Modern comfort in art infused landmark Brownstone,Private room,71,Brooklyn,Bedford-Stuyvesant
55737,Pete,2019-05-19,Sleek & Comfortable Soho Apt,Entire home/apt,199,Manhattan,West Village
55959,Gus,2019-06-10,Spacious Williamsburg Share w/ LOFT BED,Private room,69,Brooklyn,Williamsburg
56467,Leonardo,2019-07-01,Cozy East Village Railroad 1 Bed!,Entire home/apt,130,Manhattan,East Village
56525,Alex,2019-06-13,1 Bedroom Loft w/ Private Roof Deck,Entire home/apt,195,Brooklyn,Greenpoint
56859,Wayne,2019-06-03,City Room - Private & Comfy Bedroom,Private room,64,Manhattan,Harlem
57166,Vasili,2019-06-17,Elegant NYC Pad,Entire home/apt,140,Queens,Ditmars Steinway
57297,S.M.,2019-06-24,"Clean & bright 1BR in Cobble Hill, GREAT location!",Entire home/apt,159,Brooklyn,Cobble Hill
57468,Ori,2019-06-23,"Modern, Large East Village Loft",Entire home/apt,189,Manhattan,East Village
57618,Ana,2019-06-09,"Great new apt, close to everything",Entire home/apt,250,Manhattan,Hell's Kitchen
57740,I,2019-05-24,Quiet & Clean Retreat in the City,Entire home/apt,239,Manhattan,East Village
57754,R,2019-06-30,Stylish Large Gramercy Loft!,Entire home/apt,305,Manhattan,Flatiron District
57874,Simon,2019-06-26,The Brownstone-Luxury 1 Bd Apt/NYC,Entire home/apt,155,Manhattan,Harlem
58059,Agnes,2019-07-03,PRIVATE Room on Historic Sugar Hill,Private room,60,Manhattan,Harlem
58062,Linda,2019-05-17,South Slope Green,Private room,135,Brooklyn,Windsor Terrace
58467,Dave,2019-05-08,"17 Flr. Manhattan Views, Nr. Subway",Private room,120,Manhattan,Roosevelt Island
59014,Drica,2019-01-02,"Spacious 1BR, Adorable Clean Quiet",Entire home/apt,150,Manhattan,Lower East Side
59642,Betty,2019-05-19,Franklin St Flat in Trendy Greenpoint Brooklyn,Entire home/apt,135,Brooklyn,Greenpoint
59709,Ricardo & Ashlie,2019-07-01,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",Entire home/apt,250,Manhattan,Chinatown
60164,Harrison,2019-06-23,"Beautiful, elegant 3 bed SOHO loft",Entire home/apt,500,Manhattan,SoHo
60457,Jessica,2019-05-11,Spacious Greenwich Village Apt,Entire home/apt,225,Manhattan,Greenwich Village
60666,Wayne,2019-06-11,City Room - Private Luxury Suite,Private room,92,Manhattan,Harlem
60680,Mich,2019-06-20,The gem of the East Village,Entire home/apt,99,Manhattan,East Village
60948,Laurine,2019-06-20,ACCOMMODATIONS GALORE #2,Entire home/apt,140,Manhattan,East Harlem
61406,Bethania,2019-06-01,Great room in great location,Private room,80,Manhattan,Harlem
61492,Tunji,2019-06-23,Exclusive Room with Private Bath in  LES,Private room,120,Manhattan,Chinatown
61509,Anna/Fonzy,2019-04-30,"Quiet, clean midtown apt w. elevato",Entire home/apt,110,Manhattan,Midtown
62095,Colette&Sean,2019-06-14,BK Sweet Suite w/Kitchen&FullBath,Entire home/apt,65,Brooklyn,East Flatbush
62427,Brie,2019-05-26,Great East Village Apartment Rental,Entire home/apt,130,Manhattan,East Village
62430,Sheila,2019-06-22,BROWNSTONE SUNDRENCHED BEAUTY,Entire home/apt,99,Brooklyn,Bushwick
62452,Lissette,2019-06-25,A SpeciaL!! Private Room in NY,Private room,36,Staten Island,Tompkinsville
62461,Lissette,2019-06-10,B NYC Staten Alternative...,Private room,37,Staten Island,Tompkinsville
62787,Lissette,2019-07-02,C Private Room By The Ferry,Private room,37,Staten Island,Tompkinsville
62891,Olivia,2019-05-24,Smallest House In The Village,Entire home/apt,175,Manhattan,East Village
62903,Daniel,2019-06-21,Beautiful modern studio apartment in heart of NYC,Entire home/apt,205,Manhattan,Chelsea
62925,Maya,2019-06-16,Beautiful Landmarked Duplex,Entire home/apt,285,Brooklyn,Greenpoint
63299,Scott,2019-06-23,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,Private room,59,Brooklyn,Williamsburg
63320,Lissette,2019-07-02,D Private Che@p Room 2 Explore NYC,Private room,36,Staten Island,Tompkinsville
63360,Dennis & Naoko,2019-06-24,Safe cute near subway& Manhattan NY NY retro style,Entire home/apt,99,Queens,Astoria
63546,Antonín,2019-05-16,Large and Cozy Private Bedroom,Private room,39,Brooklyn,Kensington
63610,Vie,2019-06-27,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,Entire home/apt,105,Bronx,Eastchester
63657,Renée,2019-06-25,"Private, Large & Sunny Top Floor Apt  w/W&D",Entire home/apt,135,Brooklyn,Bedford-Stuyvesant
63693,Olivia,2019-06-19,Cottage in the Village,Entire home/apt,390,Manhattan,East Village
64000,Kristian & Di,2019-01-07,Williamsburg near soho. / loftbed,Private room,60,Brooklyn,Williamsburg
64107,Niya,2019-06-24,BROOKLYN  STUDIO APARTMENT,Private room,100,Brooklyn,Crown Heights
64277,Helene,2019-01-02,BEDROOM2 FOR RENT  10min from Manh,Private room,70,Brooklyn,Bedford-Stuyvesant
64314,Debbie,2019-05-26,cozy bedroom in lovely garden apt,Private room,110,Brooklyn,Crown Heights
64365,Anthony,2019-06-27,Crown Heights Garden Apt.,Private room,60,Brooklyn,Crown Heights
64707,Tilly,2019-01-02,Amazing  Sunny & Breezy Home In the Heart of  NYC,Entire home/apt,90,Manhattan,Little Italy
64837,Edward,2019-06-23,ENJOY Downtown NYC!!,Private room,68,Manhattan,East Village
65019,Claire,2019-07-06,Charming UWS Treehouse Apt,Entire home/apt,115,Manhattan,Upper West Side
65268,Juhli,2019-01-05,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Private room,75,Brooklyn,Bedford-Stuyvesant
65562,Mary D,2019-01-03,CHARMING EAST VILLAGE 2 (or 1) BR,Entire home/apt,129,Manhattan,East Village
65615,Valerie,2019-06-29,Farmhouse Apartment in Williamsburg,Entire home/apt,130,Brooklyn,Williamsburg
65660,Larissa,2019-07-07,Bright+Spacious Williamsburg Abode!,Entire home/apt,95,Brooklyn,Williamsburg
65813,Eric,2019-01-02,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",Private room,75,Manhattan,Harlem
66008,Melissa,2019-07-01,CHARMING CARROLL GARDENS APT.,Entire home/apt,190,Brooklyn,Carroll Gardens
66026,Alex,2019-06-30,Private Bedroom Brownstone Brooklyn,Private room,49,Brooklyn,Crown Heights
66251,Samir,2019-06-25,East Village Loft with Piano & Patio,Entire home/apt,212,Manhattan,East Village
66275,Tony,2019-06-23,Lower East Side Magic Room,Private room,95,Manhattan,Lower East Side
66451,Luis Fernando,2019-02-16,**Fantastic Williamsburg Apt**,Entire home/apt,140,Brooklyn,Williamsburg
66718,Henning,2019-06-23,West Harlem Home Base - Eco-Apt.,Entire home/apt,135,Manhattan,Harlem
66741,Stefano,2019-06-23,Charming Garden Apt in Park Slope,Entire home/apt,150,Brooklyn,Park Slope
66974,Jana,2019-07-01,"Lovely, Modern, Garden Apartment",Entire home/apt,190,Brooklyn,Gowanus
67288,Per,2019-06-15,Central Park 1BR sunny condo,Entire home/apt,124,Manhattan,East Harlem
67299,Adrienne,2019-05-06,Cozy Garden Apartment  in Williamsburg,Entire home/apt,135,Brooklyn,Williamsburg
67397,Elise,2019-06-22,SoHa comfort-by NW Central Park!,Private room,122,Manhattan,Morningside Heights
68099,Deda,2019-06-25,Cozy room in Upper West Side,Private room,109,Manhattan,Upper West Side
68403,Naimah,2019-06-24,The Cozy Brownstone Inn (discount)!,Entire home/apt,145,Brooklyn,Bedford-Stuyvesant
68735,Violetta,2019-06-13,Prewar Penthouse w Private Terrace,Entire home/apt,195,Manhattan,Upper West Side
68765,Jenna,2019-06-27,Designer 2.5 BR Loft in Carroll Gardens by Subway,Entire home/apt,250,Brooklyn,Carroll Gardens
68974,Alicia,2019-06-20,Unique spacious loft on the Bowery,Entire home/apt,575,Manhattan,Little Italy
69894,Silvia,2019-06-11,"Nice renovated apt, prime location!",Entire home/apt,150,Manhattan,Upper West Side
69921,Joab,2019-06-29,Brooklyn Writer's Nook,Private room,70,Brooklyn,Bushwick
70095,Mary And Geoff,2019-06-30,Private Bedroom in Large NYC Apartment,Private room,90,Manhattan,Inwood
70128,Eyal,2019-01-10,"Large, Sunny Room East Village NYC",Private room,65,Manhattan,East Village
70609,Bruce,2019-06-16,Great Large 3 BR/2 Bath Duplex with Private Patio!,Entire home/apt,500,Manhattan,East Village
71010,Kurt,2019-05-24,All That Jazz. Uptown style on Sugar Hill.,Entire home/apt,250,Manhattan,Washington Heights
71248,Jennifer,2019-06-17,Bright and lovely 1 bdrm apt in LES,Entire home/apt,125,Manhattan,Chinatown
71366,Ruperto,2019-06-25,Beautiful One Bed West Village - 4 Month Special,Entire home/apt,200,Manhattan,West Village
71812,Thai,2019-01-02,Condo Apartment with laundry in unit,Entire home/apt,90,Bronx,Kingsbridge
72190,Hudson,2019-02-15,1BR: See Central Park from Terrace!,Entire home/apt,110,Manhattan,Upper West Side
72265,Vanessa,2019-06-16,Private room in cozy Greenpoint,Private room,59,Brooklyn,Greenpoint
74073,Daniel,2019-06-23,Food & Music Dream Apartment in Williamsburg,Entire home/apt,195,Brooklyn,Williamsburg
74240,Patty,2019-06-07,French Garden cottage off Bedford,Entire home/apt,169,Brooklyn,Williamsburg
74680,Nazleen,2019-05-31,One Bedroom Mini studio - Free WIFI,Entire home/apt,115,Queens,Astoria
75193,Scott,2019-06-22,BROOKLYN > Guest Room w/ King Bed in Williamsburg,Private room,69,Brooklyn,Williamsburg
75635,Patricia,2019-06-27,Bright Cozy Chinatown Studio Apt.,Entire home/apt,150,Manhattan,Lower East Side
76761,Evelyn,2019-06-28,Eveland the Place to Stay & Enjoy a 5-‚≠êÔ∏è 2bdrm,Entire home/apt,169,Brooklyn,South Slope
77765,The Box House Hotel,2019-07-01,Superior @ Box House,Private room,179,Brooklyn,Greenpoint
77936,Moss Owen,2019-06-14,Hells Kitchen Garden of Eden,Private room,150,Manhattan,Hell's Kitchen
79067,Bliss,2019-04-20,Lovely 3 bedroom in Italianate Brownstone w/garden,Entire home/apt,350,Brooklyn,Clinton Hill
79782,Pam,2019-03-31,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",Private room,120,Brooklyn,Williamsburg
80493,Jennifer,2019-07-04,Cozy room in East Village with AC,Private room,71,Manhattan,East Village
80700,The Box House Hotel,2019-05-24,Loft w/ Terrace @ Box House Hotel,Private room,349,Brooklyn,Greenpoint
82550,Christopher,2019-06-30,Columbia Castle 2 BR,Entire home/apt,200,Brooklyn,Brooklyn Heights
82638,Sarah,2019-06-06,"Charming Artist's Flat, East Village",Entire home/apt,169,Manhattan,East Village
82928,Ruthven,2019-07-02,BEAUTIFUL 2 BEDROOM APARTMENT,Entire home/apt,185,Brooklyn,Bedford-Stuyvesant
83243,Julian,2019-06-10,Brooklyn Cove Studio Apt w/ Garden!!,Entire home/apt,65,Brooklyn,Bushwick
83847,Yvette,2019-01-02,East Village Designer's 1-BR APT,Entire home/apt,225,Manhattan,East Village
84010,The Box House Hotel,2019-06-27,Superior @ Box House,Private room,179,Brooklyn,Greenpoint
84659,Kyle,2019-06-26,Large Studio--Heart of East Village,Entire home/apt,139,Manhattan,East Village
84905,Ange,2019-06-23,Huge.Bright.Clean.Safe. Private Room,Private room,95,Manhattan,Two Bridges
85094,Alex,2019-01-14,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,Entire home/apt,79,Brooklyn,Crown Heights
86215,T,2019-06-24,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,Entire home/apt,150,Manhattan,Lower East Side
